Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|P06730|IF4E_HUMAN,2.38E+05,2.07E+05,0,1.35E+05,0,0,0,2.22E+05,7.29E+04
sp|P06748|NPM_HUMAN,2.52E+07,5.07E+07,3.86E+07,5.19E+06,3.33E+06,1.82E+06,0,2.96E+05,3.24E+05
sp|Q16778|H2B2E_HUMAN,0,0,0,0,0,0,0,0,0
sp|P07196|NFL_HUMAN,9.09E+04,1.24E+05,0,9.47E+04,0,2.61E+04,0,7.64E+04,1.83E+05
sp|P07197|NFM_HUMAN,6.94E+04,7.49E+04,5.02E+03,9.10E+04,1.99E+04,4.52E+04,9.32E+03,7.92E+04,6.33E+04
sp|P07237|PDIA1_HUMAN,4.60E+04,0,0,0,0,0,0,0,0
sp|P07305|H10_HUMAN,4.02E+05,2.64E+06,0,1.20E+06,9.68E+04,7.13E+04,0,2.58E+05,2.52E+05
sp|P07339|CATD_HUMAN,5.48E+06,0,0,6.98E+04,0,8.69E+04,0,9.30E+04,3.69E+04
sp|P07355|ANXA2_HUMAN,6.11E+04,5.33E+04,2.03E+04,6.03E+05,3.43E+04,0,0,7.50E+05,2.25E+05
sp|P07437|TBB5_HUMAN,8.62E+05,0,0,6.22E+05,0,0,0,4.67E+05,7.56E+05
sp|P07741|APT_HUMAN,8.41E+04,9.71E+04,0,0,0,0,0,0,0
sp|P07814|SYEP_HUMAN,3.03E+05,3.11E+05,0,7.38E+05,1.66E+03,2.18E+04,0,4.72E+05,3.02E+05
sp|P07900|HS90A_HUMAN,1.46E+06,5.22E+05,0,9.05E+05,0,2.32E+06,0,1.56E+06,7.60E+05
sp|P07910|HNRPC_HUMAN,5.26E+07,9.02E+07,2.56E+07,5.95E+07,1.76E+07,4.92E+07,1.40E+07,3.84E+07,4.85E+07
sp|P12931|SRC_HUMAN,0,7.29E+04,0,3.45E+04,0,0,0,0,0
sp|P08133|ANXA6_HUMAN,2.16E+05,3.42E+05,0,2.95E+05,0,2.86E+04,0,1.08E+06,2.77E+05
sp|P08174|DAF_HUMAN,6.35E+05,6.68E+05,0,3.06E+05,1.88E+04,2.81E+04,0,2.52E+05,0
sp|P08238|HS90B_HUMAN,5.21E+06,3.04E+06,1.84E+05,3.90E+06,1.12E+06,2.20E+06,3.39E+05,4.42E+06,2.07E+06
sp|P08559|ODPA_HUMAN,0,0,0,0,0,0,0,0,6.67E+04
